text	normalized	phones	ipa	style	source	status	reviewer	notes_or_phones_google
upper	upper	ax . p ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax . p ax r
uptodown	uptodown	ax p . tx u . dx aaw n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax p . tt u . dd aaw n
uranium	uranium	y u . r e . n i . y ax m		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u . r e . n i . y ax m
urban	urban	ax r . b ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax r . b ax n
ureter	ureter	y u . r e . tx ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u . r e . tt ax r
urethra	urethra	u . r e th . th r aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . r e th . th r aa
us	us	ax s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax s
use	use	y u dz		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u jh
usgaonkar	usgaonkar	u s . g aaw n . k ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u s . g aaw n . k ax r
ustad	ustad	u s . t aa d		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u s . t aa d
utilities	utilities	y u . tx i . l i . tx i dz		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u . tt i . l i . tt i jh
uttama	uttama	u t . t ax m		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u t . t ax m
uttar	uttar	u t . t ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u t . t ax r
v	v	bh i		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i
vacation	vacation	bh y aa . k e . s ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh y aa . k e . s ax n
vaccine	vaccine	bh y aa k . s i n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh y aa k . s i n
vaginal	vaginal	bh e . dz aaj . n ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . jh aaj . n ax l
vaginitis	vaginitis	bh e . g i . n i . t i dz		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . g i . n i . t i jh
vaginosis	vaginosis	bh e . dz i . n o . s i s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . jh i . n o . s i s
vaidya	vaidya	b axj d . d y ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b axj d . d y ax
vaikuntha	vaikuntha	b axj . k u n . th ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b axj . k u n . th ax
vaio	vaio	bh axj . y o		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh axj . y o
vaisheshika	vaisheshika	b axj . s e . s i . k aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b axj . s e . s i . k aa
vajra	vajra	bh ax dz . dz r ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax jh . jh r ax
valero	valero	bh aa . l e . r o		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh aa . l e . r o
valve	valve	bh ax l bh		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax l bh
van	van	bh y aa n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh y aa n
vanara	vanara	b aa . n ax . r ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b aa . n ax . r ax
vanguard	vanguard	bh y aa n . g aa r dx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh y aa n . g aa r dd
vanilla	vanilla	bh y aa . n i . l aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh y aa . n i . l aa
varco	varco	bh ax r . k o		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax r . k o
variable	variable	bh e . r i . y e . b ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . r i . y e . b ax l
varsha	varsha	b ax r . s aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b ax r . s aa
vashishtha	vashishtha	w ax . s i s . txh ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=w ax . s i s . tth ax
vasudev	vasudev	b aa . s u . d e b		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b aa . s u . d e b
veda	veda	b e . d aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b e . d aa
vedder	vedder	bh e . dx ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . dd ax r
veera	veera	b i r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i r
vegas	vegas	bh e . g aa s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . g aa s
vegeta	vegeta	bh e . g e . tx y aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . g e . tt y aa
vegetable	vegetable	bh e . g i . t e . b ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . g i . t e . b ax l
vegetation	vegetation	bh e . dz i . tx e . s ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . jh i . tt e . s ax n
vegetative	vegetative	bh e . g i . tx e . tx i bh		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . g i . tt e . tt i bh
vehicle	vehicle	bh e . h i . k ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . h i . k ax l
velvet	velvet	bh e l . bh e tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e l . bh e tt
vena	vena	bh e . n aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . n aa
vengeance	vengeance	bh e n . g i n s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e n . g i n s
venkateswara	venkateswara	b e ng . k ax . tx e s . s w ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b e ng . k ax . tt e s . s w ax r
ventricular	ventricular	bh e n . tx r i . k u . l ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e n . tt r i . k u . l ax r
venus	venus	bh e . n ax s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . n ax s
verb	verb	bh ax r b		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax r b
verbs	verbs	bh ax r b s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax r b s
verification	verification	bh e . r i . ph i . k e . s ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . r i . ph i . k e . s ax n
verizon	verizon	bh e . r i . dz o n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e . r i . jh o n
vernon	vernon	bh e r . n ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e r . n ax n
version	version	bh ax r . s ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax r . s ax n
vertebra	vertebra	bh ax r . tx e b . b r aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax r . tt e b . b r aa
vertebral	vertebral	bh ax r . tx i . b r ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax r . tt i . b r ax l
vertex	vertex	bh ax r . tx e k s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax r . tt e k s
vertical	vertical	bh ax r . tx i . k ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax r . tt i . k ax l
vest	vest	bh e s tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh e s tt
via	via	bh aa . y aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh aa . y aa
viacom	viacom	bh y aa . k ax m		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh y aa . k ax m
vibhav	vibhav	b i . bh ax b		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . bh ax b
vibration	vibration	bh aaj . b r e . s ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh aaj . b r e . s ax n
vibrio	vibrio	bh i b . b r i . y o		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i b . b r i . y o
vice	vice	bh aaj s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh aaj s
victims	victims	bh i k . tx i m s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i k . tt i m s
victoria	victoria	bh i k . tx o . r i . y aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i k . tt o . r i . y aa
video	video	bh i . dx i . y o		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . dd i . y o
videostream	videostream	bh i . dx i . y o . s tx r i m		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . dd i . y o . s tt r i m
